State,Year,Nitrogen (%),Nitrogen (Pounds/Acre),Phosphorous (%),Phosphorous (Pounds/Acre),Potash (%),Potash (Pounds/Acre),Area Planted (acres),Harvested Area (acres),Lint Yield (Pounds/Harvested Acre)
Arkansas,2001,93,80,63,36,68,73,980,945,916
Arkansas,2002,NA,NA,NA,NA,NA,NA,910,900,1114
Arkansas,2003,97,94,84,41,90,91,1050,1040,1016
Arkansas,2004,NA,NA,NA,NA,NA,NA,1170,1160,1045
Arkansas,2005,NA,NA,NA,NA,NA,NA,860,850,1071
Arkansas,2006,NA,NA,NA,NA,NA,NA,620,615,1012
Arkansas,2007,98,111,83,41,85,87,520,500,818
Arkansas,2008,NA,NA,NA,NA,NA,NA,545,540,1045
Arkansas,2009,NA,NA,NA,NA,NA,NA,680,660,929
Arkansas,2010,98,108,83,42,86,74,595,585,1064
Arkansas,2011,NA,NA,NA,NA,NA,NA,310,305,1133
Arkansas,2012,NA,NA,NA,NA,NA,NA,335,330,1145
Arkansas,2013,NA,NA,NA,NA,NA,NA,210,207,1092
Arkansas,2014,NA,NA,NA,NA,NA,NA,380,375,1075
Arkansas,2015,100,129,79,47,80,86,445,438,1177
Arkansas,2016,NA,NA,NA,NA,NA,NA,485,480,1133
Arkansas,2017,97,160,74,53,79,100,620,610,1102
California,1964,95,111,48,62,8,26,NA,NA,NA
California,1965,96,150,37,81,NA,NA,NA,NA,NA
California,1966,94,138,26,72,4,16,NA,NA,NA
California,1967,91,145,42,99,6,74,NA,NA,NA
California,1968,94,157,47,88,6,46,NA,NA,NA
California,1969,93,135,42,91,1,31,NA,NA,NA
California,1970,92,129,41,60,9,24,NA,NA,NA
California,1971,90,124,41,73,6,37,NA,NA,NA
California,1972,92,121,43,70,12,49,NA,NA,NA
California,1973,88,125,45,84,9,50,900,875,1072
California,1974,84,104,38,59,10,22,1130,1120,1064
California,1975,86,137,30,74,1,43,1400,1390,964
California,1976,94,146,47,78,7,70,1480,1455,640
California,1977,95,142,47,75,10,50,1650,1635,1000
California,1978,96,120,39,81,8,67,1550,1540,969
California,1979,94,106,31,65,5,44,1540,1530,1109
California,1980,95,108,27,61,3,75,1380,1370,1077
California,1981,97,110,36,73,5,84,960,950,996
California,1982,95,117,30,61,4,39,1410,1400,999
California,1983,95,117,33,52,6,38,1330,1320,1132
California,1984,91,116,27,61,2,87,1000,990,1088
California,1985,87,118,23,56,3,112,1150,1140,1259
California,1986,92,104,16,62,2,24,1350,1335,1015
California,1987,93,115,26,60,NA,NA,1050,1040,1228
California,1988,93,124,36,45,16,39,1100,1090,1204
California,1989,97,123,42,56,13,14,980,977,1252
California,1990,94,140,31,68,3,40,1000,995,1359
California,1991,95,138,35,87,10,38,1050,1045,1340
California,1992,97,131,32,86,5,42,1100,1095,1191
California,1993,98,139,33,51,6,NA,1170,1165,953
California,1994,96,188,35,60,24,39,1000,995,1153
California,1995,99,167,40,63,21,72,880,875,1202
California,1996,96,175,37,83,16,58,650,620,887
California,1997,96,145,25,60,26,72,610,605,1254
California,1998,98,128,23,75,13,83,775,770,1378
California,1999,99,154,51,61,19,97,630,625,1359
California,2000,98,139,29,57,12,58,480,477,1469
California,2001,NA,NA,NA,NA,NA,NA,550,545,1317
California,2002,NA,NA,NA,NA,NA,NA,560,557,1543
California,2003,94,141,47,55,25,84,430,428,1194
California,2004,NA,NA,NA,NA,NA,NA,285,283,1321
California,2005,NA,NA,NA,NA,NA,NA,195,194,1608
California,2006,NA,NA,NA,NA,NA,NA,120,117,1506
California,2007,96,123,39,74,20,48,71,70,1646
California,2008,NA,NA,NA,NA,NA,NA,124,123,1483
California,2009,NA,NA,NA,NA,NA,NA,182,181,1474
California,2010,NA,NA,NA,NA,NA,NA,142,141,1729
California,2011,NA,NA,NA,NA,NA,NA,93,92,1737
California,2012,NA,NA,NA,NA,NA,NA,63,61,1684
California,2013,NA,NA,NA,NA,NA,NA,47,46,1722
California,2014,NA,NA,NA,NA,NA,NA,63,62,1897
California,2015,94,97,28,31,33,48,88,87,1297
California,2016,NA,NA,NA,NA,NA,NA,48,47,1910
California,2017,NA,NA,NA,NA,NA,NA,55,54,1778
Georgia,1964,100,80,99,64,100,89,NA,NA,NA
Georgia,1965,99,86,99,65,99,89,NA,NA,NA
Georgia,1966,100,104,100,66,100,104,NA,NA,NA
Georgia,1967,100,102,100,64,100,95,NA,NA,NA
Georgia,1968,100,97,100,62,100,94,NA,NA,NA
Georgia,1969,100,105,100,65,98,92,NA,NA,NA
Georgia,1970,100,92,100,59,100,85,NA,NA,NA
Georgia,1971,100,94,100,61,100,90,NA,NA,NA
Georgia,1972,100,82,100,60,98,91,NA,NA,NA
Georgia,1973,100,95,100,65,100,102,165,160,443
Georgia,1974,100,119,98,65,100,103,255,240,398
Georgia,1975,100,130,100,53,100,84,230,170,232
Georgia,1976,100,92,100,61,98,88,120,115,463
Georgia,1977,100,109,100,67,100,110,155,150,486
Georgia,1978,100,78,100,60,100,93,170,160,258
Georgia,1979,86,69,96,47,99,79,180,175,436
Georgia,1980,93,80,98,50,98,77,163,158,714
Georgia,1981,100,63,93,48,85,83,120,115,467
Georgia,1982,100,79,90,53,100,89,175,172,784
Georgia,1983,100,72,91,53,100,73,255,245,725
Georgia,1984,100,69,93,51,98,88,225,195,455
Georgia,1985,100,78,93,62,100,86,250,245,662
Georgia,1986,92,80,87,55,90,88,350,315,564
Georgia,1987,NA,NA,NA,NA,NA,NA,265,260,631
Georgia,1988,NA,NA,NA,NA,NA,NA,355,350,555
Georgia,1989,NA,NA,NA,NA,NA,NA,430,427,812
Georgia,1990,NA,NA,NA,NA,NA,NA,460,456,783
Georgia,1991,NA,NA,NA,NA,NA,NA,615,600,586
Georgia,1992,NA,NA,NA,NA,NA,NA,885,875,843
Georgia,1993,NA,NA,NA,NA,NA,NA,1500,1490,625
Georgia,1994,NA,NA,NA,NA,NA,NA,1340,1336,747
Georgia,1995,NA,NA,NA,NA,NA,NA,1440,1425,646
Georgia,1996,99,104,99,57,97,106,1370,1280,578
Georgia,1997,95,92,94,60,99,93,1470,1300,579
Georgia,1998,96,91,90,58,92,97,1500,1350,591
Georgia,1999,100,87,98,57,100,109,1490,1480,720
Georgia,2000,96,87,94,55,93,84,1450,1360,557
Georgia,2001,99,79,92,52,93,85,1300,1290,785
Georgia,2002,NA,NA,NA,NA,NA,NA,1290,1280,674
Georgia,2003,100,96,90,56,91,90,1220,1210,849
Georgia,2004,NA,NA,NA,NA,NA,NA,1400,1370,818
Georgia,2005,NA,NA,NA,NA,NA,NA,1030,995,801
Georgia,2006,NA,NA,NA,NA,NA,NA,940,920,835
Georgia,2007,98,90,91,60,91,87,1000,990,902
Georgia,2008,NA,NA,NA,NA,NA,NA,1330,1315,821
Georgia,2009,NA,NA,NA,NA,NA,NA,1600,1495,791
Georgia,2010,95,95,86,59,91,105,1290,1280,1091
Georgia,2011,NA,NA,NA,NA,NA,NA,1370,1340,831
Georgia,2012,NA,NA,NA,NA,NA,NA,1380,1370,900
Georgia,2013,NA,NA,NA,NA,NA,NA,1130,1120,966
Georgia,2014,NA,NA,NA,NA,NA,NA,1180,1165,898
Georgia,2015,99,90,82,51,97,96,1280,1270,841
Georgia,2016,NA,NA,NA,NA,NA,NA,1430,1305,719
Georgia,2017,100,112,81,55,91,89,1400,1390,932
Louisiana,1964,97,54,62,34,69,35,NA,NA,NA
Louisiana,1965,93,56,63,40,64,41,NA,NA,NA
Louisiana,1966,90,69,58,48,58,48,NA,NA,NA
Louisiana,1967,91,69,61,49,62,50,NA,NA,NA
Louisiana,1968,92,76,48,43,51,46,NA,NA,NA
Louisiana,1969,97,63,62,46,64,47,NA,NA,NA
Louisiana,1970,95,81,57,50,56,50,NA,NA,NA
Louisiana,1971,98,69,69,50,69,53,NA,NA,NA
Louisiana,1972,98,73,70,54,70,56,NA,NA,NA
Louisiana,1973,91,71,60,59,60,60,320,310,535
Louisiana,1974,98,69,59,54,59,51,570,560,474
Louisiana,1975,98,69,50,45,50,45,545,540,583
Louisiana,1976,98,72,63,52,63,52,515,510,450
Louisiana,1977,98,70,63,51,61,49,470,465,712
Louisiana,1978,99,78,81,48,81,49,570,560,394
Louisiana,1979,100,68,65,49,65,53,700,695,512
Louisiana,1980,96,69,92,48,92,52,605,595,702
Louisiana,1981,98,73,80,46,80,51,420,410,623
Louisiana,1982,98,74,73,47,72,53,650,645,786
Louisiana,1983,100,69,62,42,70,58,640,630,565
Louisiana,1984,99,81,77,52,77,59,580,570,567
Louisiana,1985,100,80,70,48,76,64,605,600,782
Louisiana,1986,100,95,72,43,73,48,735,645,705
Louisiana,1987,100,74,68,47,71,55,645,620,672
Louisiana,1988,94,88,59,51,65,58,810,790,715
Louisiana,1989,100,86,70,45,72,55,875,820,828
Louisiana,1990,99,77,62,48,62,62,890,870,717
Louisiana,1991,90,100,46,55,43,79,890,875,606
Louisiana,1992,98,78,57,44,59,75,900,890,815
Louisiana,1993,86,85,51,45,52,66,1085,1075,614
Louisiana,1994,92,157,40,45,40,59,890,885,697
Louisiana,1995,88,117,42,47,48,73,655,650,728
Louisiana,1996,91,74,64,45,67,67,535,525,586
Louisiana,1997,98,79,71,51,76,70,615,610,709
Louisiana,1998,99,90,69,42,73,76,710,695,629
Louisiana,1999,100,85,43,55,45,68,870,855,580
Louisiana,2000,100,86,64,44,66,70,520,495,717
Louisiana,2001,95,86,50,42,52,77,525,510,967
Louisiana,2002,NA,NA,NA,NA,NA,NA,500,490,867
Louisiana,2003,99,87,45,37,59,52,610,600,878
Louisiana,2004,NA,NA,NA,NA,NA,NA,635,630,946
Louisiana,2005,NA,NA,NA,NA,NA,NA,335,330,1017
Louisiana,2006,NA,NA,NA,NA,NA,NA,300,234,576
Louisiana,2007,100,87,70,35,63,76,230,225,745
Louisiana,2008,NA,NA,NA,NA,NA,NA,255,249,842
Louisiana,2009,NA,NA,NA,NA,NA,NA,295,290,846
Louisiana,2010,NA,NA,NA,NA,NA,NA,230,225,1020
Louisiana,2011,NA,NA,NA,NA,NA,NA,130,128,1223
Louisiana,2012,NA,NA,NA,NA,NA,NA,170,168,1154
Louisiana,2013,NA,NA,NA,NA,NA,NA,115,112,810
Louisiana,2014,NA,NA,NA,NA,NA,NA,140,137,939
Louisiana,2015,NA,NA,NA,NA,NA,NA,220,217,894
Louisiana,2016,NA,NA,NA,NA,NA,NA,195,189,1067
Louisiana,2017,NA,NA,NA,NA,NA,NA,280,270,1031
Mississippi,1964,99,77,59,50,59,50,NA,NA,NA
Mississippi,1965,100,104,56,58,54,55,NA,NA,NA
Mississippi,1966,98,98,71,54,72,55,NA,NA,NA
Mississippi,1967,97,98,58,56,58,57,NA,NA,NA
Mississippi,1968,100,91,63,52,62,53,NA,NA,NA
Mississippi,1969,100,93,59,56,59,57,NA,NA,NA
Mississippi,1970,99,96,42,60,42,61,NA,NA,NA
Mississippi,1971,100,93,41,55,43,63,NA,NA,NA
Mississippi,1972,100,92,48,64,47,65,NA,NA,NA
Mississippi,1973,100,90,49,64,50,65,1140,1100,454
Mississippi,1974,100,103,45,64,46,64,1530,1470,376
Mississippi,1975,100,92,47,59,48,66,1380,1360,581
Mississippi,1976,100,90,40,53,40,54,1200,1180,561
Mississippi,1977,99,98,43,57,44,57,1090,1050,657
Mississippi,1978,99,92,36,54,38,59,1150,1125,488
Mississippi,1979,100,87,32,61,33,63,1230,1200,626
Mississippi,1980,99,92,33,50,34,55,1000,990,853
Mississippi,1981,99,91,41,45,48,59,687,675,640
Mississippi,1982,100,94,41,54,41,65,1045,1032,767
Mississippi,1983,99,98,45,50,50,63,1050,1040,764
Mississippi,1984,98,103,44,57,46,68,1020,1000,571
Mississippi,1985,98,104,42,56,44,59,1020,1010,829
Mississippi,1986,96,102,39,54,49,63,1230,1190,736
Mississippi,1987,100,106,48,52,60,71,1050,1020,732
Mississippi,1988,98,110,50,49,56,59,1230,1220,728
Mississippi,1989,100,103,54,49,61,65,1245,1230,888
Mississippi,1990,99,109,42,50,56,78,1350,1345,761
Mississippi,1991,100,109,52,50,68,76,1330,1300,572
Mississippi,1992,100,112,41,57,73,98,1280,1270,806
Mississippi,1993,95,111,43,57,68,94,1460,1420,622
Mississippi,1994,100,122,45,54,66,101,1120,1100,819
Mississippi,1995,100,112,40,54,60,86,985,970,901
Mississippi,1996,98,100,27,47,56,100,950,940,737
Mississippi,1997,100,109,46,50,77,95,1200,1180,704
Mississippi,1998,97,107,51,57,67,99,1300,1280,642
Mississippi,1999,100,111,36,50,65,109,1620,1600,719
Mississippi,2000,100,114,44,52,68,97,1170,1150,808
Mississippi,2001,99,112,31,51,46,98,1110,1090,934
Mississippi,2002,NA,NA,NA,NA,NA,NA,1110,1100,1024
Mississippi,2003,99,109,45,46,70,106,1210,1200,859
Mississippi,2004,NA,NA,NA,NA,NA,NA,1230,1220,829
Mississippi,2005,NA,NA,NA,NA,NA,NA,660,655,966
Mississippi,2006,NA,NA,NA,NA,NA,NA,365,360,911
Mississippi,2007,100,117,33,58,54,106,305,295,672
Mississippi,2008,NA,NA,NA,NA,NA,NA,420,410,993
Mississippi,2009,NA,NA,NA,NA,NA,NA,630,605,952
Mississippi,2010,95,100,32,47,53,91,475,470,1014
Mississippi,2011,NA,NA,NA,NA,NA,NA,290,287,1203
Mississippi,2012,NA,NA,NA,NA,NA,NA,425,420,1232
Mississippi,2013,NA,NA,NA,NA,NA,NA,320,315,1024
Mississippi,2014,NA,NA,NA,NA,NA,NA,435,430,1207
Mississippi,2015,96,107,44,116,65,116,630,625,1038
Mississippi,2016,NA,NA,NA,NA,NA,NA,620,615,1141
Mississippi,2017,99,116,47,52,60,91,720,710,1082
Missouri,1964,100,85,95,58,95,59,NA,NA,NA
Missouri,1965,99,64,96,46,96,49,NA,NA,NA
Missouri,1966,94,71,96,57,96,61,NA,NA,NA
Missouri,1967,99,50,94,53,94,56,NA,NA,NA
Missouri,1968,93,54,92,48,92,52,NA,NA,NA
Missouri,1969,94,56,91,49,91,57,NA,NA,NA
Missouri,1970,90,57,84,42,84,44,NA,NA,NA
Missouri,1971,99,55,84,45,87,50,NA,NA,NA
Missouri,1972,100,63,91,51,91,56,NA,NA,NA
Missouri,1973,88,47,94,54,97,77,220,210,449
Missouri,1974,97,60,85,51,89,73,305,260,305
Missouri,1975,96,56,84,43,87,56,270,258,437
Missouri,1976,90,36,91,47,91,57,210,182,496
Missouri,1977,96,49,83,39,88,62,157,137,550
Missouri,1978,91,44,88,48,94,51,245,241,353
Missouri,1979,96,52,96,50,100,52,242,183,441
Missouri,1980,100,55,78,45,100,75,154,151,648
Missouri,1981,92,47,75,37,85,67,108,93,377
Missouri,1982,100,54,83,31,83,80,164,162,554
Missouri,1983,100,44,100,39,100,68,152,150,653
Missouri,1984,100,70,100,31,100,66,178,160,588
Missouri,1985,98,56,68,35,98,62,200,199,796
Missouri,1986,100,57,82,48,88,63,245,242,607
Missouri,1987,NA,NA,NA,NA,NA,NA,214,209,618
Missouri,1988,NA,NA,NA,NA,NA,NA,248,235,641
Missouri,1989,NA,NA,NA,NA,NA,NA,332,327,630
Missouri,1990,NA,NA,NA,NA,NA,NA,335,328,792
Missouri,1991,NA,NA,NA,NA,NA,NA,345,335,539
Missouri,1992,NA,NA,NA,NA,NA,NA,352,345,856
Missouri,1993,NA,NA,NA,NA,NA,NA,462,453,544
Missouri,1994,NA,NA,NA,NA,NA,NA,390,385,737
Missouri,1995,NA,NA,NA,NA,NA,NA,395,390,695
Missouri,1996,NA,NA,NA,NA,NA,NA,370,357,471
Missouri,1997,100,112,72,37,95,78,380,377,601
Missouri,1998,NA,NA,NA,NA,NA,NA,400,388,668
Missouri,1999,NA,NA,NA,NA,NA,NA,405,400,834
Missouri,2000,100,101,86,34,95,88,380,368,796
Missouri,2001,NA,NA,NA,NA,NA,NA,400,390,862
Missouri,2002,NA,NA,NA,NA,NA,NA,380,378,1054
Missouri,2003,100,89,73,40,81,80,440,438,947
Missouri,2004,NA,NA,NA,NA,NA,NA,500,496,953
Missouri,2005,NA,NA,NA,NA,NA,NA,380,379,968
Missouri,2006,NA,NA,NA,NA,NA,NA,306,303,1106
Missouri,2007,98,97,88,31,95,68,272,260,927
Missouri,2008,NA,NA,NA,NA,NA,NA,310,308,1068
Missouri,2009,NA,NA,NA,NA,NA,NA,375,367,969
Missouri,2010,100,130,81,48,93,87,350,330,1063
Missouri,2011,NA,NA,NA,NA,NA,NA,255,246,968
Missouri,2012,NA,NA,NA,NA,NA,NA,250,245,1117
Missouri,2013,NA,NA,NA,NA,NA,NA,185,175,1097
Missouri,2014,NA,NA,NA,NA,NA,NA,280,266,1021
Missouri,2015,100,96,74,35,92,62,305,297,1212
Missouri,2016,NA,NA,NA,NA,NA,NA,325,322,1373
Missouri,2017,98,112,87,46,96,70,380,368,1265
New Mexico,1964,63,85,58,60,NA,NA,NA,NA,NA
New Mexico,1965,71,81,45,79,5,28,NA,NA,NA
New Mexico,1966,52,73,44,64,9,23,NA,NA,NA
New Mexico,1967,67,67,57,70,9,40,NA,NA,NA
New Mexico,1968,67,83,62,74,13,41,NA,NA,NA
New Mexico,1969,57,92,48,77,NA,NA,NA,NA,NA
New Mexico,1970,61,72,50,85,6,17,NA,NA,NA
New Mexico,1971,56,70,42,50,11,12,NA,NA,NA
New Mexico,1972,61,69,63,69,9,31,NA,NA,NA
New Mexico,1973,64,60,38,64,5,18,95,85,382
New Mexico,1974,52,49,48,57,16,26,68,64,523
New Mexico,1975,45,54,32,58,13,18,131,128,603
New Mexico,1976,56,59,38,59,8,22,137,109,443
New Mexico,1977,NA,NA,NA,NA,NA,NA,154,126,396
New Mexico,1978,NA,NA,NA,NA,NA,NA,151,120,428
New Mexico,1979,70,61,51,54,14,15,136,106,602
New Mexico,1980,40,64,28,51,2,10,79,68,551
New Mexico,1981,65,58,42,50,12,19,56,47,715
New Mexico,1982,47,64,30,57,8,37,77,69,605
New Mexico,1983,54,88,30,49,9,1,70,54,631
New Mexico,1984,66,71,34,64,14,6,63,50,595
New Mexico,1985,59,58,47,48,2,14,66,62,689
New Mexico,1986,49,54,28,60,3,6,77,69,710
New Mexico,1987,NA,NA,NA,NA,NA,NA,61,55,698
New Mexico,1988,NA,NA,NA,NA,NA,NA,69,62,735
New Mexico,1989,NA,NA,NA,NA,NA,NA,69,65,465
New Mexico,1990,NA,NA,NA,NA,NA,NA,55,37,616
New Mexico,1991,NA,NA,NA,NA,NA,NA,54,49,769
New Mexico,1992,NA,NA,NA,NA,NA,NA,55,50,720
New Mexico,1993,NA,NA,NA,NA,NA,NA,61,56,609
New Mexico,1994,NA,NA,NA,NA,NA,NA,59,55,733
New Mexico,1995,NA,NA,NA,NA,NA,NA,70,66,676
New Mexico,1996,NA,NA,NA,NA,NA,NA,66,60,640
New Mexico,1997,NA,NA,NA,NA,NA,NA,84,79,662
New Mexico,1998,NA,NA,NA,NA,NA,NA,72,67,724
New Mexico,1999,NA,NA,NA,NA,NA,NA,68,65,916
New Mexico,2000,NA,NA,NA,NA,NA,NA,54,50,816
New Mexico,2001,NA,NA,NA,NA,NA,NA,53,38,884
New Mexico,2002,NA,NA,NA,NA,NA,NA,68,64,848
New Mexico,2003,NA,NA,NA,NA,NA,NA,56,51,1016
